Msg Delay(s),Elapsed Time(Avg),Elapsed Time(Std),Elapsed Time(Range),CPU Time(Avg),CPU Time(Std),CPU Time(Range),Timeout,Correctness
0.0,1.0901389960985397,0.1677316834038179,0.4529082439985357,1.0166682999999999,1.1604759771331425,3.434368,0,1
0.1,4.15641724789748,4.75407312905826,9.937837072007822,0.43767900000000004,0.5627868338677523,1.2546280000000003,0,1
0.2,7.65132701620023,3.676607171091083,8.519624438005849,0.4607168999999999,0.25555710620848626,0.6257919999999999,0,1
0.3,5.675913920000312,4.436971901077877,9.664844144994277,0.23114149999999997,0.19263437523294977,0.45428300000000005,0,1
0.4,7.408431027100596,3.7436473256282516,9.661676029005319,0.22211849999999997,0.11226323394420412,0.2992009999999999,0,1
0.5,7.884256350599753,3.2220731934366964,7.5217451300122775,0.18845710000000002,0.07226823051728887,0.1776,0,1
0.6,8.372119966601895,3.120672542259266,7.419907762989167,0.1727724,0.06445452694764306,0.151159,0,1
0.7,11.607282862202556,2.82515739115755,10.829161227011355,0.20563369999999997,0.04481424051211599,0.15199800000000008,0,1
0.8,12.999257609897176,2.277237242796796,7.215802351987806,0.20529609999999998,0.03740731183264102,0.118656,0,1
0.9,10.590480837701762,2.827699430602561,7.213709881994872,0.15978940000000003,0.051731130574238275,0.12046699999999999,0,1
