Wait Time(s),Elapsed Time(Avg),Elapsed Time(Std),Elapsed Time(Range),CPU Time(Avg),CPU Time(Std),CPU Time(Range),Timeout,Correctness
0.0,1.0690496059003636,0.18112532646165055,0.5759700560010967,0.6857494000000001,1.429185626830049,4.641166,0,1
0.1,1.1511316624979373,0.05345004485839013,0.1068301110062746,0.04215709999999999,0.00776461366929053,0.024785000000000022,0,1
0.2,1.310971421501017,0.10685602421941463,0.20539518201258056,0.03959939999999999,0.006070204503236371,0.016470000000000005,0,1
0.3,1.400195981799334,0.14699600847507532,0.3067954109865241,0.04037239999999999,0.00690054151176236,0.02259499999999999,0,1
0.4,1.5700792405055837,0.2077368357166974,0.40456606399675366,0.0406188,0.004363021628795035,0.015527999999999986,0,1
0.5,1.6097898517997238,0.21180494836983108,0.5042556989938018,0.03655750000000001,0.0035811214025776917,0.012669000000000007,0,1
0.6,1.9105292078980711,0.31830880270897166,0.6089554409991251,0.04206259999999999,0.008662337485408374,0.02427299999999999,0,1
0.7,2.0603642733010927,0.37104768575614094,0.7068884749896824,0.043290499999999996,0.005793182031971337,0.017915999999999987,0,1
0.8,2.0497421960055364,0.38834941967199615,0.8070270619937219,0.0448584,0.008513900805936914,0.030668999999999984,0,1
0.9,1.9999091535981275,0.28503096617889123,0.9021407170075686,0.03603859999999999,0.004099396546376606,0.011294000000000005,0,1
