Wait Time(s),Elapsed Time(Avg),Elapsed Time(Std),Elapsed Time(Range),CPU Time(Avg),CPU Time(Std),CPU Time(Range),Timeout,Correctness
0.0,3.0666310615997645,4.230360089929872,9.997591484992881,17.6125819,24.195571668534217,57.23094500000001,0,1
0.1,0.21634913239977321,0.0009570237751941523,0.002874577010516105,0.0546937,0.0049240653495528156,0.015486000000000014,0,1
0.2,0.41713005519704893,0.0009391036341533767,0.0026965809956892017,0.0579176,0.0037494310442459863,0.01349799999999999,0,1
0.3,0.6174380557989935,0.0007779269200605166,0.0021883949812036008,0.057184,0.003180458597260608,0.009565000000000011,0,1
0.4,0.8158031389015378,0.0016806765206446425,0.0048893120110733435,0.055672200000000005,0.004778193819611942,0.013204999999999995,0,1
0.5,1.0165116207965184,0.0010736858070094916,0.0034637510107129454,0.0571856,0.0020730303744357745,0.006540999999999991,0,1
0.6,1.217389738401107,0.0012041052356432996,0.0036838650121353567,0.05932989999999999,0.007035490387235913,0.022958000000000013,0,1
0.7,1.4175134677017922,0.0008163089245689052,0.0025866310024864614,0.059948600000000005,0.002815388396335792,0.007654999999999995,0,1
0.8,1.6154830575003871,0.0018895323258894526,0.005164307993254624,0.0539392,0.004832031981130368,0.014644000000000011,0,1
0.9,1.8170835678000004,0.0011785304337608685,0.0040158920019168765,0.056151000000000006,0.00404783360439741,0.015440000000000016,0,1
