Loss Rate,Elapsed Time(Avg),Elapsed Time(Std),Elapsed Time(Range),CPU Time(Avg),CPU Time(Std),CPU Time(Range),Timeout,Correctness
0.0,3.347,4.621315989623464,10.00599422099185,19.048615200000004,26.244126419458656,58.05860900000001,0,1
0.1,0.834,0.43086825219696984,1.036302053995314,0.20353159999999998,0.07393807363853738,0.22900199999999996,0,1
0.2,1.025,0.009688999465225837,0.03099531699263003,0.132956,0.04699500472981736,0.15446700000000002,0,1
0.3,1.018,0.00300670683758312,0.00866843199764844,0.0875616,0.013279634601733424,0.03651600000000001,0,1
0.4,1.014,0.0015878104424185257,0.004498527996474877,0.0671095,0.007197105980878709,0.020788000000000015,0,1
0.5,1.015,0.004809225202867578,0.016382062996854074,0.0790223,0.023545129305465946,0.065126,0,1
0.6,10.043,0.002758351793600844,0.008629653995740227,0.3039636,0.022610275904749316,0.07250599999999996,1,1
0.7,10.041,0.003539736440314551,0.01149405600153841,0.29351099999999997,0.02145600205070833,0.07968300000000003,1,1
0.8,10.042,0.00357166459272778,0.012287644989557478,0.2950277,0.028648573387207638,0.08966799999999997,1,1
0.9,10.042,0.0025329310402362206,0.009487567993350154,0.2966801,0.016932191020853343,0.059031,1,1
